"session","created","modified","ended","expired","psid","ip_address","browser","respondentID","dynata_root","dynata_complete","dynata_screen","dynata_quota","inMarket","zip","income","inMarketscreenout","incomescreenout"
"-XPmP8h6fN0kHe-a2c4EtuhB7xrd6e9loulBH4DgcL7qZghu8P62WVEuRwetq96N","2021-10-29 14:24:45","2021-10-29 14:25:32","2021-10-29 14:25:32","","85syV5osN2Vd36RIFL6jOA**","174.252.192.215","Mozilla/5.0 (Linux; Android 9; LGL322DL Build/PKQ1.190414.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.4606.85 Mobile Safari/537.36","9580","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2Vd36RIFL6jOA**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2Vd36RIFL6jOA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2Vd36RIFL6jOA**","0-3months","16830","inc_50to75","0","1"
"7WJAuWoTlpO9U4MNkwBQDtdOCEe_qtKoWTBlR3EQ21wmz8KHxBEk83yv6zWEMOPH","2021-10-29 14:25:35","2021-10-29 14:26:43","2021-10-29 14:26:44","","85syV5osN2XfUaK_98wcgQ**","172.58.155.188","Mozilla/5.0 (iPhone; CPU iPhone OS 15_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1","9100","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2XfUaK_98wcgQ**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2XfUaK_98wcgQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2XfUaK_98wcgQ**","1year","35904","under25","0","0"
"dBpaagUlM3DOPVDLU1QyHqJ3SUwvUfnushfHfWc4Y9LtadA240c9E_OUimF5ALLP","2021-10-29 14:25:57","2021-10-29 14:30:51","2021-10-29 14:30:52","","85syV5osN2VVwWnBf4jyGQ**","107.77.232.140","Mozilla/5.0 (Linux; Android 11; SM-A025A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.4606.71 Mobile Safari/537.36","7230","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2VVwWnBf4jyGQ**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2VVwWnBf4jyGQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2VVwWnBf4jyGQ**","0-3months","36273","inc_25to35","0","0"
"pcmTmw6eU1o5eojekOWfJPyXe0RiPG580DzyV5NfoOSQt7Aw4kbD_0-6bzd6s9Gr","2021-10-29 14:26:57","2021-10-29 14:27:21","2021-10-29 14:27:22","","85syV5osN2WWrFt5SpNlMA**","73.81.156.16","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","5777","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2WWrFt5SpNlMA**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2WWrFt5SpNlMA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2WWrFt5SpNlMA**","1year","19140","under25","0","0"
"h4YSAKlSSb7EVoEgmnfUmFwdokolWGanVzBCoBFNvhVzVSsdWAGYe4quBkK-6jTa","2021-10-29 14:28:20","2021-10-29 14:28:45","2021-10-29 14:28:46","","85syV5osN2X75kDjsSR55w**","74.67.123.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36 Edg/95.0.1020.30","1524","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2X75kDjsSR55w**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2X75kDjsSR55w**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2X75kDjsSR55w**","no_timeline","14617","inc_100to150","0","1"
"RKRHMHoI0US8vQPeGP1cL4N8hl18-EjONIMfWkYNy7z_8VInlZ1zmGLrf3NdytCY","2021-10-29 14:29:23","2021-10-29 14:29:51","2021-10-29 14:29:51","","85syV5osN2Xu4BLwmi34QA**","72.209.56.163","Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","6707","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2Xu4BLwmi34QA**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2Xu4BLwmi34QA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2Xu4BLwmi34QA**","no_timeline","2864","under25","0","0"
"m-MSlJHsBspBYxqpqW0iDkVYkOObjGEci0RF8P-X6VdE8sOIf5107Rr4Owk__coO","2021-10-29 14:32:28","2021-10-29 14:33:01","2021-10-29 14:33:01","","85syV5osN2VVgi7Ry_HpRA**","174.251.128.100","Mozilla/5.0 (Linux; Android 9; LGL722DL Build/PKQ1.190302.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.50 Mobile Safari/537.36","3265","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2VVgi7Ry_HpRA**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2VVgi7Ry_HpRA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2VVgi7Ry_HpRA**","1year","23970","inc_35to50","0","0"
"gyxL1i89yrm90GuQk2wOHq74_jUdJhWmfChyuIJERxuKQ5_Nxho3teMqmAnkA5Uj","2021-10-29 14:34:48","","","","85syV5osN2XZvVrl40OdXQ**","172.58.62.195","Mozilla/5.0 (Linux; Android 10; moto g stylus (2021) Build/QPCS30.Q4-31-93-5; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.4606.71 Mobile Safari/537.36","6755","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2XZvVrl40OdXQ**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2XZvVrl40OdXQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2XZvVrl40OdXQ**","","","","",""
"0aveZq0Tss51arkpeND-S0BPKA8NJbelfVFUMx6pjteoFeGOljdVY2FBh4n_KUhJ","2021-10-29 14:34:50","2021-10-29 14:35:16","2021-10-29 14:35:17","","85syV5osN2XZvVrl40OdXQ**","172.58.62.195","Mozilla/5.0 (Linux; Android 10; moto g stylus (2021) Build/QPCS30.Q4-31-93-5; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.4606.71 Mobile Safari/537.36","2974","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2XZvVrl40OdXQ**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2XZvVrl40OdXQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2XZvVrl40OdXQ**","no_timeline","80247","inc_25to35","0","0"
"qCvnzHZmCLEUY2HbttNeqF-sEufbj85I29SPRfou5fSwjgFVL3QDcUhPRvtfJIHJ","2021-10-29 14:35:50","2021-10-29 14:36:21","2021-10-29 14:36:22","","85syV5osN2UB5e81kg-lbA**","172.58.196.162","Mozilla/5.0 (Linux; Android 11; SM-A025U Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.4472.120 Mobile Safari/537.36","2218","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2UB5e81kg-lbA**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2UB5e81kg-lbA**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2UB5e81kg-lbA**","0-3months","48195","inc_25to35","0","0"
